"User ID","Value","Gene Name","Species"
"406148","","nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","Apis mellifera"
"409674","","uncharacterized LOC409674(LOC409674)","Apis mellifera"
"409771","","potassium channel subfamily K member 18(LOC409771)","Apis mellifera"
"413109","","uncharacterized LOC413109(LOC413109)","Apis mellifera"
"552320","","uncharacterized LOC552320(LOC552320)","Apis mellifera"
"724767","","sodium channel protein Nach(LOC724767)","Apis mellifera"
"725159","","probable cytochrome P450 6a14(LOC725159)","Apis mellifera"
"726950","","pupal cuticle protein 20(LOC726950)","Apis mellifera"
"727197","","cuticular protein 2(CPR2)","Apis mellifera"
"100578498","","tricalbin-3(LOC100578498)","Apis mellifera"
"100578990","","dynein intermediate chain 3, ciliary(LOC100578990)","Apis mellifera"
"102656196","","uncharacterized LOC102656196(LOC102656196)","Apis mellifera"
"113218626","","uncharacterized LOC113218626(LOC113218626)","Apis mellifera"
"113218954","","uncharacterized LOC113218954(LOC113218954)","Apis mellifera"
"113219057","","uncharacterized LOC113219057(LOC113219057)","Apis mellifera"

