Target_id,GOTERM_BP_DIRECT
406148,signal transduction
406148,signal transduction
406148,signal transduction
406148,signal transduction
406148,signal transduction
406148,signal transduction
406148,signal transduction
406148,signal transduction
406148,signal transduction
406148,signal transduction
406148,signal transduction
409771,stabilization of membrane potential
409771,stabilization of membrane potential
409771,stabilization of membrane potential
413109,regulation of DNA-templated transcription
413109,regulation of DNA-templated transcription
413109,regulation of DNA-templated transcription
413109,regulation of DNA-templated transcription
413109,regulation of DNA-templated transcription
413109,regulation of DNA-templated transcription
413109,regulation of DNA-templated transcription
413109,regulation of DNA-templated transcription
413109,regulation of DNA-templated transcription
413109,regulation of DNA-templated transcription
724767,sodium ion transmembrane transport
724767,sodium ion transmembrane transport
100578498,lipid transport
100578498,lipid transport
100578498,lipid transport
100578498,lipid transport
100578498,lipid transport
100578990,cilium movement
100578990,cilium movement
100578990,cilium movement
100578990,cilium movement
100578990,cilium movement
100578990,cilium movement
100578990,cilium movement
