Motivo,Target_id
C2-M4,406148
C2-M5,406148
C2-M7,406148
M10,406148
M11,406148
M12,406148
M13,406148
M6,406148
M7,406148
M8,406148
M9,406148
C2-M4,409674
C2-M7,409674
M10,409674
M11,409674
M12,409674
M13,409674
M6,409674
M7,409674
M8,409674
M9,409674
M12,409771
M6,409771
M7,409771
C2-M4,413109
C2-M5,413109
C2-M7,413109
M10,413109
M11,413109
M13,413109
M6,413109
M7,413109
M8,413109
M9,413109
M1,552320
C2-M5,724767
M6,724767
C2-M3,725159
M1,725159
M2,726950
C2-M3,727197
C2-M5,100578498
C2-M7,100578498
M13,100578498
M6,100578498
M9,100578498
C2-M5,100578990
C2-M7,100578990
M10,100578990
M13,100578990
M6,100578990
M7,100578990
M9,100578990
C2-M3,102656196
M10,113218626
M6,113218626
M8,113218626
C2-M4,113218954
C2-M7,113218954
M10,113218954
M11,113218954
M13,113218954
M6,113218954
M7,113218954
M8,113218954
M9,113218954
C2-M4,113219057
C2-M5,113219057
C2-M7,113219057
M10,113219057
M12,113219057
M13,113219057
M6,113219057
M7,113219057
M8,113219057
M9,113219057
