geneID	geneSymbol	name	term	GO	caste
725980	725980	28S_ribosomal_protein_S36,_mitochondrial	ribosome	CC	worker
409552	409552	40S_ribosomal_protein_S10	ribosome	CC	worker
409723	409723	40S_ribosomal_protein_S12,_mitochondrial	ribosome	CC	worker
551125	551125	40S_ribosomal_protein_S15Aa	ribosome	CC	worker
726270	726270	40S_ribosomal_protein_S19	ribosome	CC	worker
724531	724531	40S_ribosomal_protein_S28	ribosome	CC	worker
552632	552632	60S_ribosomal_protein_L22	ribosome	CC	worker
409450	Rack1	Receptor_of_activated_protein_kinase_C_1	ribosome	CC	worker
409926	mRpL12	mitochondrial_ribosomal_protein_L12	ribosome	CC	worker
413928	mRpL13	mitochondrial_ribosomal_protein_L13	ribosome	CC	worker
552097	mRpL14	mitochondrial_ribosomal_protein_L14	ribosome	CC	worker
412549	mRpL17	mitochondrial_ribosomal_protein_L17	ribosome	CC	worker
552628	mRpL18	mitochondrial_ribosomal_protein_L18	ribosome	CC	worker
552641	mRpL2	mitochondrial_ribosomal_protein_L2	ribosome	CC	worker
726779	mRpL33	mitochondrial_ribosomal_protein_L33	ribosome	CC	worker
100578551	mRpL34	mitochondrial_ribosomal_protein_L34	ribosome	CC	worker
725659	mRpL35	mitochondrial_ribosomal_protein_L35	ribosome	CC	worker
725062	mRpL4	mitochondrial_ribosomal_protein_L4	ribosome	CC	worker
726151	mRpL49	mitochondrial_ribosomal_protein_L49	ribosome	CC	worker
410678	mRpS11	mitochondrial_ribosomal_protein_S11	ribosome	CC	worker
724744	mRpS14	mitochondrial_ribosomal_protein_S14	ribosome	CC	worker
725291	mRpS16	mitochondrial_ribosomal_protein_S16	ribosome	CC	worker
551158	mRpS17	mitochondrial_ribosomal_protein_S17	ribosome	CC	worker
551397	mRpS18A	mitochondrial_ribosomal_protein_S18A	ribosome	CC	worker
100578560	mRpS18C	mitochondrial_ribosomal_protein_S18C	ribosome	CC	worker
411924	mRpS25	mitochondrial_ribosomal_protein_S25	ribosome	CC	worker
409589	RpL10	ribosomal_protein_L10	ribosome	CC	worker
550715	RpL12	ribosomal_protein_L12	ribosome	CC	worker
552517	RpL13	ribosomal_protein_L13	ribosome	CC	worker
551418	RpL13A	ribosomal_protein_L13A	ribosome	CC	worker
413137	RpL15	ribosomal_protein_L15	ribosome	CC	worker
413470	RpL17	ribosomal_protein_L17	ribosome	CC	worker
409832	RpL18A	ribosomal_protein_L18A	ribosome	CC	worker
726056	RpL21	ribosomal_protein_L21	ribosome	CC	worker
409294	RpL23	ribosomal_protein_L23	ribosome	CC	worker
724142	RpL24	ribosomal_protein_L24	ribosome	CC	worker
408515	RpL26	ribosomal_protein_L26	ribosome	CC	worker
552318	RpL27A	ribosomal_protein_L27A	ribosome	CC	worker
552774	RpL28	ribosomal_protein_L28	ribosome	CC	worker
724631	RpL29	ribosomal_protein_L29	ribosome	CC	worker
552445	RpL3	ribosomal_protein_L3	ribosome	CC	worker
413875	RpL31	ribosomal_protein_L31	ribosome	CC	worker
406099	RpL32	ribosomal_protein_L32	ribosome	CC	worker
409599	RpL35A	ribosomal_protein_L35A	ribosome	CC	worker
551870	RpL36	ribosomal_protein_L36	ribosome	CC	worker
411515	RpL36A	ribosomal_protein_L36A	ribosome	CC	worker
552494	RpL37a	ribosomal_protein_L37a	ribosome	CC	worker
724966	RpL39	ribosomal_protein_L39	ribosome	CC	worker
408526	RpL4	ribosomal_protein_L4	ribosome	CC	worker
100191002	RpL41	ribosomal_protein_L41	ribosome	CC	worker
410188	RpL8	ribosomal_protein_L8	ribosome	CC	worker
551107	RpL9	ribosomal_protein_L9	ribosome	CC	worker
550711	RpLP0	ribosomal_protein_LP0	ribosome	CC	worker
406120	RpLP1	ribosomal_protein_LP1	ribosome	CC	worker
724868	RpS11	ribosomal_protein_S11	ribosome	CC	worker
552266	RpS12	ribosomal_protein_S12	ribosome	CC	worker
551867	RpS13	ribosomal_protein_S13	ribosome	CC	worker
551644	RpS15	ribosomal_protein_S15	ribosome	CC	worker
726439	RpS16	ribosomal_protein_S16	ribosome	CC	worker
724233	RpS17	ribosomal_protein_S17	ribosome	CC	worker
409326	RpS2	ribosomal_protein_S2	ribosome	CC	worker
726013	RpS20	ribosomal_protein_S20	ribosome	CC	worker
551479	RpS21	ribosomal_protein_S21	ribosome	CC	worker
552272	RpS23	ribosomal_protein_S23	ribosome	CC	worker
726295	RpS27	ribosomal_protein_S27	ribosome	CC	worker
725147	RpS29	ribosomal_protein_S29	ribosome	CC	worker
552106	RpS30	ribosomal_protein_S30	ribosome	CC	worker
550651	RpS4	ribosomal_protein_S4	ribosome	CC	worker
552564	RpS7	ribosomal_protein_S7	ribosome	CC	worker
409723	409723	40S_ribosomal_protein_S12,_mitochondrial	translation	BP	worker
551125	551125	40S_ribosomal_protein_S15Aa	translation	BP	worker
726270	726270	40S_ribosomal_protein_S19	translation	BP	worker
724531	724531	40S_ribosomal_protein_S28	translation	BP	worker
544670	EF1a-F2	elongation_factor_1-alpha_F2	translation	BP	worker
409926	mRpL12	mitochondrial_ribosomal_protein_L12	translation	BP	worker
413928	mRpL13	mitochondrial_ribosomal_protein_L13	translation	BP	worker
552097	mRpL14	mitochondrial_ribosomal_protein_L14	translation	BP	worker
412549	mRpL17	mitochondrial_ribosomal_protein_L17	translation	BP	worker
552628	mRpL18	mitochondrial_ribosomal_protein_L18	translation	BP	worker
724164	mRpL30	mitochondrial_ribosomal_protein_L30	translation	BP	worker
413398	mRpL32	mitochondrial_ribosomal_protein_L32	translation	BP	worker
100578551	mRpL34	mitochondrial_ribosomal_protein_L34	translation	BP	worker
725659	mRpL35	mitochondrial_ribosomal_protein_L35	translation	BP	worker
725062	mRpL4	mitochondrial_ribosomal_protein_L4	translation	BP	worker
724790	mRpL41	mitochondrial_ribosomal_protein_L41	translation	BP	worker
726151	mRpL49	mitochondrial_ribosomal_protein_L49	translation	BP	worker
724263	mRpL51	mitochondrial_ribosomal_protein_L51	translation	BP	worker
107965674	mRpL55	mitochondrial_ribosomal_protein_L55	translation	BP	worker
410678	mRpS11	mitochondrial_ribosomal_protein_S11	translation	BP	worker
724744	mRpS14	mitochondrial_ribosomal_protein_S14	translation	BP	worker
409589	RpL10	ribosomal_protein_L10	translation	BP	worker
550715	RpL12	ribosomal_protein_L12	translation	BP	worker
552517	RpL13	ribosomal_protein_L13	translation	BP	worker
551418	RpL13A	ribosomal_protein_L13A	translation	BP	worker
413137	RpL15	ribosomal_protein_L15	translation	BP	worker
409832	RpL18A	ribosomal_protein_L18A	translation	BP	worker
726056	RpL21	ribosomal_protein_L21	translation	BP	worker
409294	RpL23	ribosomal_protein_L23	translation	BP	worker
552318	RpL27A	ribosomal_protein_L27A	translation	BP	worker
552774	RpL28	ribosomal_protein_L28	translation	BP	worker
552445	RpL3	ribosomal_protein_L3	translation	BP	worker
406099	RpL32	ribosomal_protein_L32	translation	BP	worker
411515	RpL36A	ribosomal_protein_L36A	translation	BP	worker
552494	RpL37a	ribosomal_protein_L37a	translation	BP	worker
724966	RpL39	ribosomal_protein_L39	translation	BP	worker
408526	RpL4	ribosomal_protein_L4	translation	BP	worker
100191002	RpL41	ribosomal_protein_L41	translation	BP	worker
410188	RpL8	ribosomal_protein_L8	translation	BP	worker
551107	RpL9	ribosomal_protein_L9	translation	BP	worker
724868	RpS11	ribosomal_protein_S11	translation	BP	worker
