nome	category
M1	motivo
551710	target
724966	target
408540	target
552632	target
725159	target
113218576	target
409379	target
413398	target
410280	target
102655440	target
724909	target
411269	target
552050	target
113218566	target
551660	target
408871	target
724516	target
411385	target
552572	target
552809	target
552429	target
409130	target
551655	target
725059	target
724919	target
552320	target
551992	target
726009	target
725947	target
551606	target
725308	target
552118	target
725746	target
726221	target
M10	motivo
412739	target
408528	target
409674	target
406068	target
411958	target
724047	target
408442	target
408500	target
107965486	target
551303	target
113219237	target
100578990	target
406148	target
408438	target
408435	target
113218526	target
726790	target
410166	target
409108	target
724292	target
100820634	target
413109	target
410309	target
409061	target
100578780	target
724458	target
413504	target
107965037	target
552518	target
113219057	target
409001	target
409012	target
406153	target
409018	target
413382	target
725485	target
113218954	target
102654521	target
412838	target
725331	target
725220	target
100576948	target
408915	target
100576293	target
551259	target
411748	target
413410	target
413474	target
408874	target
100577213	target
409291	target
726914	target
411113	target
113218777	target
413170	target
411078	target
725015	target
724973	target
413440	target
100578955	target
100578706	target
102655354	target
113218626	target
550964	target
413858	target
100578165	target
410967	target
725829	target
107964028	target
100577670	target
409038	target
102655706	target
551071	target
726544	target
113219398	target
M11	motivo
412739	target
408528	target
102655865	target
409674	target
406068	target
724047	target
408500	target
107965486	target
408444	target
406148	target
409829	target
113218526	target
726790	target
410166	target
409108	target
724292	target
100820634	target
413109	target
410309	target
409061	target
100578780	target
724458	target
413504	target
107965037	target
552518	target
409001	target
409012	target
406153	target
413382	target
113218954	target
726829	target
102654521	target
412838	target
725331	target
725220	target
406072	target
100576948	target
408915	target
551259	target
411748	target
413474	target
408874	target
100577213	target
726914	target
411113	target
113218777	target
413170	target
411078	target
725015	target
724973	target
100578955	target
100578706	target
102655354	target
550964	target
100578165	target
410967	target
107964028	target
113218605	target
100577670	target
412354	target
551071	target
725284	target
410035	target
113219398	target
M12	motivo
102655865	target
409674	target
411958	target
724047	target
107965486	target
406148	target
408438	target
408435	target
410166	target
410309	target
409061	target
724458	target
726262	target
113219057	target
409001	target
409012	target
406153	target
726829	target
409771	target
725220	target
100576948	target
413410	target
413474	target
726914	target
725015	target
724973	target
408803	target
413440	target
410967	target
107964028	target
113218605	target
100577670	target
551071	target
410035	target
726544	target
M13	motivo
412739	target
408528	target
409674	target
724047	target
408500	target
107965486	target
408444	target
100578990	target
406148	target
408438	target
408435	target
410166	target
