     source_id target_id     weight
     1      2 15.000000
     1      3 15.000000
     1      7 17.000000
     1     15 10.000000
     1     23 35.000000
     1     30 16.000000
     1     31 11.000000
     1     34 11.000000
     1     35 32.000000
     1     36 30.000000
     1     41 11.000000
     1     58 27.000000
     1     67 13.000000
     1     81 10.000000
     1     87 10.000000
     1     99 29.000000
     1    137 19.000000
     1    278 46.000000
     1    351 35.000000
     1    352 33.000000
     1    353 14.000000
     1    533 25.000000
     1    581 11.000000
     1    617 13.000000
     1    808 12.000000
     1    953 10.000000
     1    957 19.000000
     1   1093 31.000000
     1   1251 11.000000
     1   1252 18.000000
     1   1589 26.000000
     1   1799 19.000000
     1   1801 63.000000
     1   1938 11.000000
     1   2068 14.000000
     1   3256 10.000000
     1   3331 12.000000
     1   8315 12.000000
     2      3 25.000000
     2     23 15.000000
     2     41 11.000000
     2     99 26.000000
     2    278 15.000000
     2    351 14.000000
     2    352 15.000000
     2    475 10.000000
     2   1589 15.000000
     2   1801 16.000000
     2   1904 14.000000
     2   4740 12.000000
     2   4796 10.000000
     3     23 17.000000
     3     35 12.000000
     3     36 10.000000
     3     41 11.000000
     3     99 23.000000
     3    235 31.000000
     3    278 17.000000
     3    351 16.000000
     3    352 16.000000
     3    475 11.000000
     3    957 10.000000
     3   1093 13.000000
     3   1589 17.000000
     3   1801 25.000000
     3   1809 11.000000
     3   1904 15.000000
     3   4406 10.000000
     3   4740 13.000000
     3   4796 11.000000
     4      5 13.000000
     4     23 11.000000
     4     57 10.000000
     4    957 10.000000
     4   1801 11.000000
     5      7 12.000000
     5     23 20.000000
     5     36 10.000000
     5     57 12.000000
     5     68 10.000000
     5    109 17.000000
     5    245 10.000000
     5    251 10.000000
     5    352 17.000000
     5    951 23.000000
     5    957 15.000000
     5   1801 15.000000
     7      7 226.000000
     7     12 84.000000
     7     15 20.000000
     7     23 104.000000
     7     27 12.000000
     7     28 10.000000
     7     30 64.000000
     7     31 197.000000
     7     32 13.000000
     7     34 65.000000
     7     35 115.000000
     7     36 132.000000
     7     37 27.000000
     7     38 29.000000
     7     39 28.000000
     7     55 44.000000
     7     57 158.000000
     7     77 11.000000
     7     78 18.000000
     7     79 20.000000
     7     80 16.000000
     7     81 25.000000
     7     83 30.000000
     7     85 68.000000
     7     86 46.000000
     7     87 73.000000
     7     91 38.000000
     7     92 40.000000
     7     94 19.000000
     7     96 21.000000
     7     98 40.000000
     7     99 268.000000
     7    102 25.000000
     7    103 36.000000
     7    105 69.000000
     7    108 15.000000
     7    109 124.000000
     7    111 24.000000
     7    114 11.000000
     7    118 22.000000
     7    119 17.000000
     7    122 346.000000
     7    126 13.000000
     7    127 124.000000
     7    128 35.000000
     7    132 29.000000
     7    145 152.000000
     7    146 36.000000
     7    153 40.000000
     7    154 80.000000
     7    155 33.000000
     7    156 12.000000
     7    161 23.000000
     7    165 10.000000
     7    181 24.000000
     7    182 29.000000
     7    187 13.000000
     7    189 10.000000
     7    193 14.000000
     7    197 21.000000
     7    202 24.000000
     7    204 95.000000
     7    207 20.000000
     7    208 11.000000
     7    209 11.000000
     7    210 10.000000
     7    214 16.000000
     7    216 33.000000
     7    218 52.000000
     7    219 32.000000
     7    229 39.000000
     7    230 12.000000
     7    235 326.000000
     7    236 328.000000
     7    238 53.000000
     7    241 14.000000
     7    245 329.000000
     7    249 35.000000
     7    261 20.000000
     7    263 16.000000
     7    267 29.000000
     7    271 30.000000
     7    278 267.000000
     7    281 34.000000
     7    288 35.000000
     7    289 24.000000
     7    295 129.000000
     7    296 11.000000
     7    297 55.000000
     7    300 41.000000
     7    317 10.000000
     7    322 94.000000
     7    323 20.000000
     7    338 44.000000
     7    345 33.000000
     7    351 115.000000
     7    352 99.000000
     7    360 15.000000
     7    365 12.000000
     7    370 29.000000
     7    371 21.000000
     7    379 45.000000
     7    397 93.000000
     7    398 26.000000
     7    401 13.000000
     7    409 20.000000
     7    414 14.000000
     7    432 10.000000
     7    443 10.000000
     7    463 29.000000
     7    471 48.000000
     7    475 193.000000
     7    476 20.000000
     7    479 30.000000
     7    502 17.000000
     7    503 19.000000
     7    505 25.000000
     7    514 16.000000
     7    515 13.000000
     7    517 29.000000
     7    525 70.000000
     7    528 19.000000
     7    533 501.000000
     7    534 36.000000
     7    535 73.000000
     7    554 32.000000
     7    557 10.000000
     7    563 21.000000
     7    565 11.000000
     7    570 139.000000
     7    571 13.000000
     7    573 31.000000
     7    574 13.000000
     7    579 13.000000
     7    581 64.000000
     7    583 69.000000
     7    585 21.000000
     7    586 18.000000
     7    589 35.000000
     7    590 26.000000
     7    593 14.000000
     7    597 54.000000
     7    599 35.000000
     7    602 15.000000
     7    604 54.000000
     7    605 104.000000
     7    611 55.000000
     7    615 18.000000
     7    622 61.000000
     7    656 178.000000
     7    660 55.000000
     7    662 12.000000
     7    668 24.000000
     7    669 14.000000
     7    671 14.000000
     7    673 38.000000
     7    674 11.000000
     7    681 10.000000
     7    684 13.000000
     7    712 26.000000
     7    717 13.000000
