source_id,target_id,weight
1,2,15
1,3,15
1,7,17
1,15,10
1,23,35
1,30,16
1,31,11
1,34,11
1,35,32
1,36,30
1,41,11
1,58,27
1,67,13
1,81,10
1,87,10
1,99,29
1,137,19
1,278,46
1,351,35
1,352,33
1,353,14
1,533,25
1,581,11
1,617,13
1,808,12
1,953,10
1,957,19
1,1093,31
1,1251,11
1,1252,18
1,1589,26
1,1799,19
1,1801,63
1,1938,11
1,2068,14
1,3256,10
1,3331,12
1,8315,12
2,3,25
2,23,15
2,41,11
2,99,26
2,278,15
2,351,14
2,352,15
2,475,10
2,1589,15
2,1801,16
2,1904,14
2,4740,12
2,4796,10
3,23,17
3,35,12
3,36,10
3,41,11
3,99,23
3,235,31
3,278,17
3,351,16
3,352,16
3,475,11
3,957,10
3,1093,13
3,1589,17
3,1801,25
3,1809,11
3,1904,15
3,4406,10
3,4740,13
3,4796,11
4,5,13
4,23,11
4,57,10
4,957,10
4,1801,11
5,7,12
5,23,20
5,36,10
5,57,12
5,68,10
5,109,17
5,245,10
5,251,10
5,352,17
5,951,23
5,957,15
5,1801,15
7,7,226
7,12,84
7,15,20
7,23,104
7,27,12
7,28,10
7,30,64
7,31,197
7,32,13
7,34,65
7,35,115
7,36,132
7,37,27
7,38,29
7,39,28
7,55,44
7,57,158
7,77,11
7,78,18
7,79,20
7,80,16
7,81,25
7,83,30
7,85,68
7,86,46
7,87,73
7,91,38
7,92,40
7,94,19
7,96,21
7,98,40
7,99,268
7,102,25
7,103,36
7,105,69
7,108,15
7,109,124
7,111,24
7,114,11
7,118,22
7,119,17
7,122,346
7,126,13
7,127,124
7,128,35
7,132,29
7,145,152
7,146,36
7,153,40
7,154,80
7,155,33
7,156,12
7,161,23
7,165,10
7,181,24
7,182,29
7,187,13
7,189,10
7,193,14
7,197,21
7,202,24
7,204,95
7,207,20
7,208,11
7,209,11
7,210,10
7,214,16
7,216,33
7,218,52
7,219,32
7,229,39
7,230,12
7,235,326
7,236,328
7,238,53
7,241,14
7,245,329
7,249,35
7,261,20
7,263,16
7,267,29
7,271,30
7,278,267
7,281,34
7,288,35
7,289,24
7,295,129
7,296,11
7,297,55
7,300,41
7,317,10
7,322,94
7,323,20
7,338,44
7,345,33
7,351,115
7,352,99
7,360,15
7,365,12
7,370,29
7,371,21
7,379,45
7,397,93
7,398,26
7,401,13
7,409,20
7,414,14
7,432,10
7,443,10
7,463,29
7,471,48
7,475,193
7,476,20
7,479,30
7,502,17
7,503,19
7,505,25
7,514,16
7,515,13
7,517,29
7,525,70
7,528,19
7,533,501
7,534,36
7,535,73
7,554,32
7,557,10
7,563,21
7,565,11
7,570,139
7,571,13
7,573,31
7,574,13
7,579,13
7,581,64
7,583,69
7,585,21
7,586,18
7,589,35
7,590,26
7,593,14
7,597,54
7,599,35
7,602,15
7,604,54
7,605,104
7,611,55
7,615,18
7,622,61
7,656,178
7,660,55
7,662,12
7,668,24
7,669,14
7,671,14
7,673,38
7,674,11
7,681,10
7,684,13
7,712,26
7,717,13
7,726,15
7,728,10
7,737,11
7,741,60
7,749,16
7,751,38
7,761,59
7,765,28
7,766,10
7,781,17
7,788,12
7,789,147
7,817,13
7,818,16
7,820,43
7,822,12
7,823,197
7,826,16
7,827,19
7,829,13
7,830,13
7,832,69
7,852,15
7,853,19
7,854,13
7,858,49
7,867,42
7,904,12
7,908,10
7,917,21
7,920,10
7,928,20
7,965,16
7,966,97
7,970,13
7,971,23
7,972,13
7,974,16
7,982,15
7,985,13
7,987,74
7,1015,21
7,1024,11
7,1028,23
7,1050,13
7,1052,33
7,1074,22
7,1086,10
7,1100,12
7,1101,14
7,1102,105
7,1113,92
7,1117,33
7,1122,26
7,1132,57
7,1138,11
7,1145,16
7,1146,16
7,1152,39
7,1165,35
7,1168,20
7,1203,15
7,1210,23
7,1211,22
7,1232,11
7,1234,19
7,1236,10
7,1251,77
7,1252,86
7,1270,47
7,1277,50
7,1278,74
7,1283,24
7,1372,16
7,1397,12
7,1415,17
7,1448,16
7,1460,15
7,1494,17
7,1498,23
7,1523,13
7,1556,12
7,1589,114
7,1599,12
7,1649,10
7,1721,18
7,1725,35
7,1760,18
7,1761,11
7,1763,28
7,1764,11
7,1768,12
7,1805,23
7,1811,55
7,1812,19
7,1813,30
7,1814,43
7,1851,11
7,1871,27
7,1879,19
7,1912,10
7,1915,25
7,1916,15
7,1939,15
7,1950,20
7,2008,13
7,2032,23
7,2037,12
7,2068,31
7,2076,17
7,2104,17
7,2113,18
7,2126,35
7,2128,11
7,2166,11
7,2246,13
7,2247,12
7,2258,10
7,2263,43
7,2313,11
7,2316,12
7,2323,26
7,2334,35
7,2371,33
7,2436,27
7,2463,23
7,2518,15
7,2583,12
7,2646,11
7,2650,12
7,2661,10
7,2677,10
7,2741,20
7,2808,12
7,2814,26
7,2816,16
7,2817,38
7,2819,12
7,2826,15
7,2829,11
7,2839,20
7,2840,17
7,2841,17
7,2842,15
7,2869,13
7,2900,11
7,2901,26
7,2927,14
7,2945,12
7,2958,10
7,2961,44
7,2981,15
7,2982,18
7,2985,20
7,3010,22
7,3013,14
7,3019,31
7,3022,13
7,3025,26
7,3038,10
7,3043,13
7,3049,22
7,3075,19
7,3093,16
7,3095,18
7,3101,35
7,3104,14
7,3115,35
7,3116,24
7,3118,11
7,3121,15
7,3134,17
7,3138,14
7,3145,21
7,3166,14
7,3175,13
7,3179,10
7,3196,13
7,3199,10
7,3204,28
7,3232,10
7,3234,16
7,3238,13
7,3242,15
7,3249,10
7,3250,28
7,3270,18
7,3273,11
7,3275,22
7,3287,10
7,3288,17
7,3295,13
7,3319,12
7,3320,18
7,3321,14
7,3323,13
7,3324,93
7,3327,69
7,3331,46
7,3333,16
7,3344,30
7,3376,10
7,3393,15
7,3396,11
7,3397,10
7,3398,12
7,3400,23
7,3401,10
7,3402,10
7,3403,10
7,3404,12
7,3405,11
7,3406,33
7,3408,55
7,3410,50
7,3440,10
7,3448,15
7,3458,20
7,3466,14
7,3473,15
7,3517,19
7,3524,13
7,3525,30
7,3526,39
7,3531,12
7,3533,12
7,3536,14
7,3537,25
7,3540,11
7,3552,16
7,3555,37
7,3558,11
7,3559,20
7,3560,28
7,3565,16
7,3566,29
7,3590,11
7,3594,19
7,3604,11
7,3628,10
7,3629,23
7,3651,10
7,3669,28
7,3670,14
7,3671,22
7,3673,14
7,3702,12
7,3711,82
7,3713,10
7,3733,15
7,3752,29
7,3755,10
7,3759,63
7,3801,11
7,3830,11
7,3858,20
7,3860,10
7,3876,11
7,3889,15
7,3902,10
7,3965,10
7,4070,14
7,4084,11
7,4094,10
7,4187,20
7,4194,12
7,4302,10
7,4309,10
7,4471,15
7,4560,15
7,4626,11
7,4629,41
7,4683,10
7,4694,16
7,4720,30
7,4741,77
7,4780,21
7,4817,10
7,4891,12
7,4931,14
7,4957,12
7,4958,15
7,4965,15
7,4974,17
7,5001,11
7,5002,13
7,5003,32
7,5004,17
7,5007,35
7,5032,22
7,5034,26
7,5097,24
7,5099,12
7,5114,10
7,5129,44
7,5140,24
7,5141,35
7,5145,13
7,5147,11
7,5150,19
7,5168,22
7,5203,10
7,5265,51
7,5357,13
7,5364,12
7,5366,27
7,5419,13
7,5500,10
7,5502,10
7,5518,10
7,5532,17
7,5701,11
7,5845,16
7,5849,13
7,5897,10
7,5962,14
7,5973,27
7,6023,11
7,6100,12
7,6111,22
7,6114,13
7,6201,21
7,6241,17
7,6269,19
7,6275,10
7,6318,11
7,6340,97
7,6399,14
7,6494,10
7,6776,25
7,6895,14
7,6941,11
7,6967,10
7,6977,15
7,6997,10
7,7115,11
7,7120,17
7,7125,152
7,7251,17
7,7768,16
7,7769,14
7,7813,29
7,7825,11
7,7844,10
7,7935,17
7,8094,10
7,8096,11
7,8108,10
7,8110,10
7,8127,15
7,8128,72
7,8129,69
7,8130,69
7,8131,55
7,8169,12
7,8190,12
7,8210,16
7,8211,15
7,8212,15
7,8225,10
7,8229,10
7,8301,56
7,8572,19
7,8625,14
7,8628,14
7,8629,14
7,8630,14
7,8660,16
7,8734,11
7,8777,13
7,8781,11
7,8782,11
7,8834,10
7,8835,72
7,9370,14
7,9633,38
7,10104,11
7,10171,36
7,10174,12
12,12,14
12,15,10
12,23,14
12,30,26
12,31,38
12,34,10
12,35,19
12,36,22
12,55,14
12,58,10
12,68,73
12,74,31
12,85,28
12,99,71
12,105,13
12,185,17
12,186,18
12,197,11
12,204,43
12,245,78
12,295,24
12,300,13
12,322,34
12,338,12
12,375,18
12,379,15
12,407,16
12,416,26
12,419,12
12,428,22
12,432,12
12,438,10
12,463,19
12,474,11
12,476,11
12,477,11
12,505,10
12,508,35
12,522,12
12,524,34
12,533,110
12,535,24
12,566,11
12,573,17
12,581,18
12,583,17
12,604,17
12,611,12
12,644,37
12,668,13
12,789,42
12,803,26
12,811,17
12,823,23
12,836,10
12,987,20
12,1004,11
12,1049,15
12,1093,21
12,1132,10
12,1166,11
12,1188,40
12,1211,13
12,1264,12
12,1489,24
12,1490,15
12,1498,11
12,1641,11
12,1684,12
12,1755,16
12,2113,15
12,2371,19
12,2949,13
12,3363,13
12,3594,20
12,3669,14
12,3671,12
12,3711,10
12,3873,10
12,3988,10
12,5228,10
12,5416,12
12,6267,12
12,6921,14
12,7125,27
12,8129,14
12,8607,39
15,23,21
15,31,10
15,99,22
15,109,13
15,122,23
15,235,13
15,236,12
15,278,20
15,352,11
15,645,10
15,1093,10
15,1251,12
15,1801,11
15,7697,19
15,7698,19
15,7706,14
21,23,17
21,57,20
23,23,182
23,30,36
23,31,57
23,34,40
23,35,156
23,36,146
23,43,13
23,51,29
23,54,10
23,55,33
23,57,369
23,58,224
23,59,10
23,67,28
23,68,132
23,73,21
23,74,51
23,77,14
23,87,35
23,94,10
23,96,11
23,99,55
23,105,43
23,110,13
23,112,18
23,115,11
23,118,26
23,119,27
23,127,18
23,128,16
23,137,107
23,155,18
23,168,11
23,185,10
23,186,13
23,202,41
23,204,10
23,207,16
23,228,13
23,229,29
23,230,15
23,238,22
23,245,210
23,249,18
23,251,40
23,253,25
23,276,15
23,281,22
23,288,12
23,295,20
23,297,76
23,309,15
23,353,155
23,354,15
23,375,53
23,376,56
23,379,20
23,416,36
23,428,12
23,437,19
23,443,16
23,456,12
23,459,17
23,469,19
23,475,16
23,479,13
23,508,36
23,509,35
23,512,11
23,522,10
23,533,138
23,534,12
23,544,18
23,568,12
23,581,20
23,597,14
23,604,17
23,608,11
23,626,13
23,644,319
23,645,11
23,646,13
23,660,10
23,726,19
23,753,10
23,762,13
23,765,28
23,766,21
23,808,70
23,823,16
23,853,13
23,858,13
23,931,10
