     source_id target_id    weight
     1    253 28.000000
     2      2 40.000000
     2      4 42.000000
     2      5 39.000000
     2     13 13.000000
     2     14 17.000000
     2     16 23.000000
     2     17 29.000000
     2     18 57.000000
     2     19 11.000000
     2     20 44.000000
     2     22 40.000000
     2     23 16.000000
     2     24 10.000000
     2     25 18.000000
     2     29 33.000000
     2     32 14.000000
     2     33 11.000000
     2     37 11.000000
     2     38 14.000000
     2     39 51.000000
     2     43 12.000000
     2     45 17.000000
     2     47 18.000000
     2     48 10.000000
     2     53 10.000000
     2     63 11.000000
     2     77 38.000000
     2     81 15.000000
     2     82 11.000000
     2     83 25.000000
     2     90 14.000000
     2    107 20.000000
     2    112 32.000000
     2    121 13.000000
     2    128 18.000000
     2    136 33.000000
     2    199 22.000000
     2    201 22.000000
     2    208 13.000000
     2    210 16.000000
     2    214 10.000000
     2    216 19.000000
     2    218 26.000000
     2    220 23.000000
     2    225 10.000000
     2    240 10.000000
     2    244 11.000000
     2    246 10.000000
     2    248 32.000000
     2    253 99.000000
     2    261 12.000000
     2    262 12.000000
     2    283 10.000000
     2    292 20.000000
     2    313 19.000000
     2    314 19.000000
     2    315 14.000000
     2    326 12.000000
     2    362 12.000000
     2    378 11.000000
     2    379 12.000000
     2    396 10.000000
     2    425 12.000000
     2    474 22.000000
     2    482 12.000000
     2    484 18.000000
     2    485 17.000000
     2    486 17.000000
     2    493 14.000000
     2    675 10.000000
     2    762 11.000000
     2    909 12.000000
     2    922 20.000000
     2    963 13.000000
     2   1273 14.000000
     2   1524 12.000000
     3    253 14.000000
     4      4 49.000000
     4      5 120.000000
     4      7 31.000000
     4     10 68.000000
     4     13 12.000000
     4     14 11.000000
     4     16 169.000000
     4     17 52.000000
     4     18 67.000000
     4     20 70.000000
     4     29 44.000000
     4     32 12.000000
     4     38 10.000000
     4     39 43.000000
     4     43 10.000000
     4     47 14.000000
     4     48 12.000000
     4     61 11.000000
     4     68 58.000000
     4     82 12.000000
     4     83 26.000000
     4     88 15.000000
     4    107 29.000000
     4    112 67.000000
     4    141 26.000000
     4    143 14.000000
     4    167 16.000000
     4    168 27.000000
     4    179 20.000000
     4    181 12.000000
     4    199 15.000000
     4    218 29.000000
     4    220 13.000000
     4    253 53.000000
     4    317 12.000000
     4    379 19.000000
     4    396 10.000000
     4    409 15.000000
     4    410 10.000000
     4    418 24.000000
     4    421 16.000000
     4    484 16.000000
     4    485 17.000000
     4    486 25.000000
     4    511 10.000000
     4    525 44.000000
     4    555 17.000000
     4    593 14.000000
     4    594 16.000000
     4    626 24.000000
     4    671 10.000000
     4    691 15.000000
     4    770 13.000000
     4    786 16.000000
     4    796 11.000000
     4    797 11.000000
     4    804 12.000000
     4    812 14.000000
     4    876 11.000000
     4    880 11.000000
     4    883 12.000000
     4    906 12.000000
     4    908 39.000000
     4    909 39.000000
     4    910 19.000000
     4    922 11.000000
     4    927 11.000000
     4    936 16.000000
     4    965 15.000000
     4    976 12.000000
     4    990 11.000000
     4   1054 23.000000
     4   1060 11.000000
     4   1071 12.000000
     4   1250 10.000000
     4   1257 24.000000
     4   1263 13.000000
     4   1273 38.000000
     4   1281 32.000000
     4   1317 10.000000
     4   1321 36.000000
     4   1327 10.000000
     4   1330 10.000000
     4   1334 11.000000
     4   1375 24.000000
     4   1472 11.000000
     4   1478 19.000000
     4   1485 29.000000
     4   1486 26.000000
     4   1538 32.000000
     4   1580 23.000000
     4   1614 21.000000
     4   1671 11.000000
     4   1941 18.000000
     4   1945 33.000000
     4   1954 10.000000
     4   1957 36.000000
     4   1964 19.000000
     4   1965 30.000000
     4   1992 11.000000
     4   1993 28.000000
     4   2045 10.000000
     4   2110 10.000000
     4   2125 11.000000
     4   2156 16.000000
     4   2172 12.000000
     4   2179 11.000000
     4   2182 16.000000
     4   2209 23.000000
     4   2210 18.000000
     4   2216 13.000000
     4   2217 13.000000
     4   2224 17.000000
     4   2251 19.000000
     4   2252 21.000000
     4   2615 10.000000
     4   2645 17.000000
     4   3091 10.000000
     5      5 108.000000
     5      7 33.000000
     5     10 51.000000
     5     13 16.000000
     5     16 76.000000
     5     17 57.000000
     5     18 63.000000
     5     20 46.000000
     5     29 22.000000
     5     31 11.000000
     5     32 16.000000
     5     37 18.000000
     5     38 25.000000
     5     39 50.000000
     5     43 10.000000
     5     44 10.000000
     5     47 36.000000
     5     48 20.000000
     5     49 20.000000
     5     53 14.000000
     5     56 10.000000
     5     63 27.000000
     5     67 49.000000
     5     68 101.000000
     5     73 22.000000
     5     74 26.000000
     5     76 47.000000
     5     77 75.000000
     5     81 39.000000
     5     88 23.000000
     5     89 11.000000
     5    121 16.000000
     5    130 29.000000
     5    136 12.000000
     5    143 10.000000
     5    168 27.000000
     5    181 14.000000
     5    196 10.000000
     5    201 28.000000
     5    210 16.000000
     5    216 33.000000
     5    218 54.000000
     5    248 16.000000
     5    282 33.000000
     5    284 16.000000
     5    347 33.000000
     5    355 15.000000
     5    377 32.000000
     5    403 11.000000
     5    409 11.000000
     5    410 11.000000
     5    417 30.000000
     5    418 27.000000
     5    473 12.000000
     5    474 34.000000
     5    520 11.000000
     5    572 12.000000
     5    594 24.000000
     5    691 13.000000
     5    694 10.000000
     5    722 17.000000
     5    729 10.000000
     5    770 19.000000
     5    781 10.000000
     5    784 15.000000
     5    786 30.000000
     5    787 10.000000
     5    791 12.000000
