     source_id target_id   weight
     1      2 5.000000
     1      3 6.000000
     1      5 5.000000
     1      7 5.000000
     1     10 5.000000
     1     32 8.000000
     1     39 6.000000
     1    121 6.000000
     1    168 6.000000
     1    253 28.000000
     1    373 8.000000
     1    374 6.000000
     1    484 6.000000
     1    523 6.000000
     1    694 5.000000
     1    701 6.000000
     2      2 40.000000
     2      3 7.000000
     2      4 42.000000
     2      5 39.000000
     2      7 8.000000
     2     10 8.000000
     2     13 13.000000
     2     14 17.000000
     2     15 8.000000
     2     16 23.000000
     2     17 29.000000
     2     18 57.000000
     2     19 11.000000
     2     20 44.000000
     2     22 40.000000
     2     23 16.000000
     2     24 10.000000
     2     25 18.000000
     2     26 9.000000
     2     27 7.000000
     2     28 6.000000
     2     29 33.000000
     2     30 7.000000
     2     32 14.000000
     2     33 11.000000
     2     36 6.000000
     2     37 11.000000
     2     38 14.000000
     2     39 51.000000
     2     41 5.000000
     2     42 5.000000
     2     43 12.000000
     2     44 7.000000
     2     45 17.000000
     2     47 18.000000
     2     48 10.000000
     2     49 9.000000
     2     50 6.000000
     2     53 10.000000
     2     54 5.000000
     2     56 9.000000
     2     57 5.000000
     2     58 7.000000
     2     59 8.000000
     2     60 7.000000
     2     61 8.000000
     2     62 5.000000
     2     63 11.000000
     2     76 7.000000
     2     77 38.000000
     2     79 9.000000
     2     80 5.000000
     2     81 15.000000
     2     82 11.000000
     2     83 25.000000
     2     86 6.000000
     2     87 6.000000
     2     88 7.000000
     2     90 14.000000
     2     91 6.000000
     2     93 5.000000
     2     94 5.000000
     2     95 7.000000
     2     96 6.000000
     2     99 6.000000
     2    101 6.000000
     2    103 6.000000
     2    105 6.000000
     2    106 6.000000
     2    107 20.000000
     2    110 5.000000
     2    111 5.000000
     2    112 32.000000
     2    121 13.000000
     2    126 9.000000
     2    127 9.000000
     2    128 18.000000
     2    129 9.000000
     2    130 9.000000
     2    135 8.000000
     2    136 33.000000
     2    196 8.000000
     2    199 22.000000
     2    200 6.000000
     2    201 22.000000
     2    202 5.000000
     2    205 5.000000
     2    208 13.000000
     2    210 16.000000
     2    211 9.000000
     2    212 6.000000
     2    214 10.000000
     2    215 6.000000
     2    216 19.000000
     2    218 26.000000
     2    220 23.000000
     2    221 8.000000
     2    223 5.000000
     2    224 5.000000
     2    225 10.000000
     2    226 5.000000
     2    227 5.000000
     2    228 5.000000
     2    229 5.000000
     2    230 5.000000
     2    231 7.000000
     2    235 6.000000
     2    239 7.000000
     2    240 10.000000
     2    243 6.000000
     2    244 11.000000
     2    245 6.000000
     2    246 10.000000
     2    247 9.000000
     2    248 32.000000
     2    252 9.000000
     2    253 99.000000
     2    259 8.000000
     2    260 6.000000
     2    261 12.000000
     2    262 12.000000
     2    263 6.000000
     2    264 5.000000
     2    266 5.000000
     2    282 8.000000
     2    283 10.000000
     2    284 6.000000
     2    286 5.000000
     2    287 7.000000
     2    288 5.000000
     2    289 6.000000
     2    291 8.000000
     2    292 20.000000
     2    295 5.000000
     2    299 6.000000
     2    302 8.000000
     2    310 9.000000
     2    311 6.000000
     2    313 19.000000
     2    314 19.000000
     2    315 14.000000
     2    317 7.000000
     2    318 8.000000
     2    326 12.000000
     2    331 5.000000
     2    335 5.000000
     2    354 6.000000
     2    360 9.000000
     2    361 9.000000
     2    362 12.000000
     2    378 11.000000
     2    379 12.000000
     2    395 9.000000
     2    396 10.000000
     2    400 5.000000
     2    403 7.000000
     2    409 7.000000
     2    416 5.000000
     2    421 5.000000
     2    424 8.000000
     2    425 12.000000
     2    460 5.000000
     2    464 8.000000
     2    473 5.000000
     2    474 22.000000
     2    481 7.000000
     2    482 12.000000
     2    483 8.000000
     2    484 18.000000
     2    485 17.000000
     2    486 17.000000
     2    493 14.000000
     2    509 5.000000
     2    511 6.000000
     2    518 5.000000
     2    524 7.000000
     2    525 6.000000
     2    555 8.000000
     2    564 6.000000
     2    583 6.000000
     2    593 8.000000
     2    635 6.000000
     2    640 5.000000
     2    645 6.000000
     2    646 6.000000
     2    647 8.000000
     2    675 10.000000
     2    691 5.000000
     2    694 8.000000
     2    709 5.000000
     2    716 5.000000
     2    740 7.000000
     2    744 7.000000
     2    752 5.000000
     2    756 6.000000
     2    760 5.000000
     2    762 11.000000
     2    774 5.000000
     2    783 6.000000
     2    784 6.000000
     2    786 7.000000
     2    796 5.000000
     2    797 6.000000
     2    798 7.000000
     2    879 8.000000
     2    883 5.000000
     2    889 5.000000
     2    907 7.000000
     2    908 7.000000
     2    909 12.000000
     2    910 5.000000
     2    911 5.000000
     2    912 7.000000
     2    913 5.000000
     2    914 5.000000
     2    915 5.000000
     2    916 7.000000
     2    917 5.000000
     2    918 7.000000
     2    919 6.000000
     2    921 5.000000
     2    922 20.000000
     2    923 5.000000
     2    924 5.000000
