Motivo;Modulo;Target_id;relacao_conserv_dmel;status;Gene_Symbol
C2-M4;ME3W;406068;nao;TFBS_identificado;Oamb
C2-M5;ME3W;406068;nao;TFBS_identificado;Oamb
M10;ME3W;406068;nao;Predited_only;Oamb
M11;ME3W;406068;nao;Predited_only;Oamb
M6;ME3W;406068;nao;Predited_only;Oamb
M8;ME3W;406068;nao;Predited_only;Oamb
M9;ME3W;406068;nao;Predited_only;Oamb
C2-M4;ME3W;406072;nao;TFBS_identificado;Ih
C2-M5;ME3W;406072;nao;TFBS_identificado;Ih
C2-M7;ME3W;406072;nao;TFBS_identificado;Ih
M11;ME3W;406072;nao;Predited_only;Ih
M13;ME3W;406072;nao;Predited_only;Ih
M6;ME3W;406072;nao;Predited_only;Ih
M8;ME3W;406072;nao;Predited_only;Ih
M9;ME3W;406072;nao;Predited_only;Ih
C2-M3;ME1W;406075;sim;TFBS_identificado;Ant
M2;ME1W;406075;nao;Predited_only;Ant
C2-M3;ME1W;406099;sim;TFBS_identificado;RpL32
M4;ME1W;406108;nao;Predited_only;Tspan6
C2-M3;ME1W;406120;nao;TFBS_identificado;RpLP1
C2-M3;ME1W;406131;nao;TFBS_identificado;Hbg3
C2-M3;ME1W;406132;nao;TFBS_identificado;His4r
M5;ME1W;406132;nao;Predited_only;His4r
C2-M4;ME3W;406148;nao;TFBS_identificado;nAChRa7
C2-M5;ME3W;406148;nao;TFBS_identificado;nAChRa7
C2-M7;ME3W;406148;nao;TFBS_identificado;nAChRa7
M10;ME3W;406148;nao;Predited_only;nAChRa7
M11;ME3W;406148;nao;Predited_only;nAChRa7
M12;ME3W;406148;nao;Predited_only;nAChRa7
M13;ME3W;406148;nao;Predited_only;nAChRa7
M6;ME3W;406148;nao;Predited_only;nAChRa7
M7;ME3W;406148;nao;Predited_only;nAChRa7
M8;ME3W;406148;nao;Predited_only;nAChRa7
M9;ME3W;406148;nao;Predited_only;nAChRa7
C2-M3;ME1W;406152;nao;TFBS_identificado;Jheh1
C2-M5;ME3W;406153;nao;TFBS_identificado;nAChRalpha2
C2-M7;ME3W;406153;nao;TFBS_identificado;nAChRalpha2
M10;ME3W;406153;nao;Predited_only;nAChRalpha2
M11;ME3W;406153;nao;Predited_only;nAChRalpha2
M12;ME3W;406153;nao;Predited_only;nAChRalpha2
M13;ME3W;406153;nao;Predited_only;nAChRalpha2
M6;ME3W;406153;nao;Predited_only;nAChRalpha2
M7;ME3W;406153;nao;Predited_only;nAChRalpha2
M8;ME3W;406153;nao;Predited_only;nAChRalpha2
M9;ME3W;406153;nao;Predited_only;nAChRalpha2
C2-M3;ME1W;406154;sim;TFBS_identificado;PRF
C2-M3;ME1W;408288;nao;TFBS_identificado;408288
C2-M3;ME1W;408304;sim;TFBS_identificado;nudC
C2-M3;ME1W;408308;nao;TFBS_identificado;Chchd2
C2-M3;ME1W;408367;sim;TFBS_identificado;ND-51
C2-M3;ME1W;408368;sim;TFBS_identificado;Ahcy
C2-M3;ME1W;408400;sim;TFBS_identificado;408400
C2-M3;ME1W;408407;nao;TFBS_identificado;408407
C2-M3;ME1W;408426;sim;TFBS_identificado;Ppt2
C2-M5;ME3W;408435;nao;TFBS_identificado;pdm3
C2-M7;ME3W;408435;nao;TFBS_identificado;pdm3
M10;ME3W;408435;nao;Predited_only;pdm3
M12;ME3W;408435;nao;Predited_only;pdm3
M13;ME3W;408435;nao;Predited_only;pdm3
M6;ME3W;408435;nao;Predited_only;pdm3
M7;ME3W;408435;nao;Predited_only;pdm3
M8;ME3W;408435;nao;Predited_only;pdm3
M9;ME3W;408435;nao;Predited_only;pdm3
C2-M4;ME3W;408438;nao;TFBS_identificado;chico
C2-M7;ME3W;408438;nao;TFBS_identificado;chico
M10;ME3W;408438;nao;Predited_only;chico
M12;ME3W;408438;nao;Predited_only;chico
M13;ME3W;408438;nao;Predited_only;chico
M6;ME3W;408438;nao;Predited_only;chico
M7;ME3W;408438;nao;Predited_only;chico
M8;ME3W;408438;nao;Predited_only;chico
M9;ME3W;408438;nao;Predited_only;chico
C2-M5;ME3W;408442;nao;TFBS_identificado;tkv
M10;ME3W;408442;nao;Predited_only;tkv
M6;ME3W;408442;nao;Predited_only;tkv
M9;ME3W;408442;nao;Predited_only;tkv
M11;ME3W;408444;nao;Predited_only;Myo10A
M13;ME3W;408444;nao;Predited_only;Myo10A
M6;ME3W;408444;nao;Predited_only;Myo10A
M7;ME3W;408444;nao;Predited_only;Myo10A
M8;ME3W;408444;nao;Predited_only;Myo10A
M9;ME3W;408444;nao;Predited_only;Myo10A
C2-M3;ME1W;408477;sim;TFBS_identificado;ND-SGDH
C2-M5;ME3W;408500;nao;TFBS_identificado;Nep3
C2-M7;ME3W;408500;nao;TFBS_identificado;Nep3
M10;ME3W;408500;nao;Predited_only;Nep3
M11;ME3W;408500;nao;Predited_only;Nep3
M13;ME3W;408500;nao;Predited_only;Nep3
M6;ME3W;408500;nao;Predited_only;Nep3
M7;ME3W;408500;nao;Predited_only;Nep3
M9;ME3W;408500;nao;Predited_only;Nep3
C2-M3;ME1W;408515;sim;TFBS_identificado;RpL26
C2-M3;ME1W;408516;sim;TFBS_identificado;408516
C2-M3;ME1W;408526;sim;TFBS_identificado;RpL4
C2-M4;ME3W;408528;nao;TFBS_identificado;408528
C2-M5;ME3W;408528;nao;TFBS_identificado;408528
C2-M7;ME3W;408528;nao;TFBS_identificado;408528
M10;ME3W;408528;nao;Predited_only;408528
M11;ME3W;408528;nao;Predited_only;408528
M13;ME3W;408528;nao;Predited_only;408528
M6;ME3W;408528;nao;Predited_only;408528
M7;ME3W;408528;nao;Predited_only;408528
M8;ME3W;408528;nao;Predited_only;408528
M9;ME3W;408528;nao;Predited_only;408528
C2-M3;ME1W;408531;sim;TFBS_identificado;408531
M1;ME1W;408540;nao;Predited_only;Tpx-3
C2-M3;ME1W;408573;sim;TFBS_identificado;eIF6
M2;ME1W;408596;nao;Predited_only;Cralbp
M14;ME6W;408598;nao;Predited_only;metro
C2-M3;ME1W;408654;sim;TFBS_identificado;Pdhb
M4;ME1W;408654;nao;Predited_only;Pdhb
