motivo	module	IDhomer	target	caste	status
M1	ME1W	ME1W.M19	551710	worker	novel_motif
M1	ME1W	ME1W.M19	724966	worker	novel_motif
M1	ME1W	ME1W.M19	408540	worker	novel_motif
M1	ME1W	ME1W.M19	552632	worker	novel_motif
M1	ME1W	ME1W.M19	725159	worker	novel_motif
M1	ME1W	ME1W.M19	113218576	worker	novel_motif
M1	ME1W	ME1W.M19	409379	worker	novel_motif
M1	ME1W	ME1W.M19	413398	worker	novel_motif
M1	ME1W	ME1W.M19	410280	worker	novel_motif
M1	ME1W	ME1W.M19	102655440	worker	novel_motif
M1	ME1W	ME1W.M19	724909	worker	novel_motif
M1	ME1W	ME1W.M19	411269	worker	novel_motif
M1	ME1W	ME1W.M19	552050	worker	novel_motif
M1	ME1W	ME1W.M19	113218566	worker	novel_motif
M1	ME1W	ME1W.M19	551660	worker	novel_motif
M1	ME1W	ME1W.M19	408871	worker	novel_motif
M1	ME1W	ME1W.M19	724516	worker	novel_motif
M1	ME1W	ME1W.M19	411385	worker	novel_motif
M1	ME1W	ME1W.M19	552572	worker	novel_motif
M1	ME1W	ME1W.M19	552809	worker	novel_motif
M1	ME1W	ME1W.M19	552429	worker	novel_motif
M1	ME1W	ME1W.M19	409130	worker	novel_motif
M1	ME1W	ME1W.M19	551655	worker	novel_motif
M1	ME1W	ME1W.M19	725059	worker	novel_motif
M1	ME1W	ME1W.M19	724919	worker	novel_motif
M1	ME1W	ME1W.M19	552320	worker	novel_motif
M1	ME1W	ME1W.M19	551992	worker	novel_motif
M1	ME1W	ME1W.M19	726009	worker	novel_motif
M1	ME1W	ME1W.M19	725947	worker	novel_motif
M1	ME1W	ME1W.M19	551606	worker	novel_motif
M1	ME1W	ME1W.M19	725308	worker	novel_motif
M1	ME1W	ME1W.M19	552118	worker	novel_motif
M1	ME1W	ME1W.M19	725746	worker	novel_motif
M1	ME1W	ME1W.M19	726221	worker	novel_motif
M10	ME3W	ME3W.M18	412739	worker	novel_motif
M10	ME3W	ME3W.M18	408528	worker	novel_motif
M10	ME3W	ME3W.M18	409674	worker	novel_motif
M10	ME3W	ME3W.M18	406068	worker	novel_motif
M10	ME3W	ME3W.M18	411958	worker	novel_motif
M10	ME3W	ME3W.M18	724047	worker	novel_motif
M10	ME3W	ME3W.M18	408442	worker	novel_motif
M10	ME3W	ME3W.M18	408500	worker	novel_motif
M10	ME3W	ME3W.M18	107965486	worker	novel_motif
M10	ME3W	ME3W.M18	551303	worker	novel_motif
M10	ME3W	ME3W.M18	113219237	worker	novel_motif
M10	ME3W	ME3W.M18	100578990	worker	novel_motif
M10	ME3W	ME3W.M18	406148	worker	novel_motif
M10	ME3W	ME3W.M18	408438	worker	novel_motif
M10	ME3W	ME3W.M18	408435	worker	novel_motif
M10	ME3W	ME3W.M18	113218526	worker	novel_motif
M10	ME3W	ME3W.M18	726790	worker	novel_motif
M10	ME3W	ME3W.M18	410166	worker	novel_motif
M10	ME3W	ME3W.M18	409108	worker	novel_motif
M10	ME3W	ME3W.M18	724292	worker	novel_motif
M10	ME3W	ME3W.M18	100820634	worker	novel_motif
M10	ME3W	ME3W.M18	413109	worker	novel_motif
M10	ME3W	ME3W.M18	410309	worker	novel_motif
M10	ME3W	ME3W.M18	409061	worker	novel_motif
M10	ME3W	ME3W.M18	100578780	worker	novel_motif
M10	ME3W	ME3W.M18	724458	worker	novel_motif
M10	ME3W	ME3W.M18	413504	worker	novel_motif
M10	ME3W	ME3W.M18	107965037	worker	novel_motif
M10	ME3W	ME3W.M18	552518	worker	novel_motif
M10	ME3W	ME3W.M18	113219057	worker	novel_motif
M10	ME3W	ME3W.M18	409001	worker	novel_motif
M10	ME3W	ME3W.M18	409012	worker	novel_motif
M10	ME3W	ME3W.M18	406153	worker	novel_motif
M10	ME3W	ME3W.M18	409018	worker	novel_motif
M10	ME3W	ME3W.M18	413382	worker	novel_motif
