"Gene Name","Category","Terms"
"cuticular protein 2(CPR2)","GOTERM_CC_DIRECT","extracellular space"
"cuticular protein 2(CPR2)","GOTERM_CC_DIRECT","extracellular matrix"
"cuticular protein 2(CPR2)","GOTERM_MF_DIRECT","structural constituent of cuticle"
"cuticular protein 2(CPR2)","INTERPRO","Insect_cuticle"
"cuticular protein 2(CPR2)","INTERPRO","CHIT_BIND_RR_consensus"
"cuticular protein 2(CPR2)","INTERPRO","Insect_Cuticle_Struc_Prot"
"cuticular protein 2(CPR2)","UP_KW_DOMAIN","Signal"
"dynein intermediate chain 3, ciliary(LOC100578990)","GOTERM_BP_DIRECT","cilium movement"
"dynein intermediate chain 3, ciliary(LOC100578990)","GOTERM_BP_DIRECT","outer dynein arm assembly"
"dynein intermediate chain 3, ciliary(LOC100578990)","GOTERM_CC_DIRECT","microtubule"
"dynein intermediate chain 3, ciliary(LOC100578990)","GOTERM_CC_DIRECT","outer dynein arm"
"dynein intermediate chain 3, ciliary(LOC100578990)","GOTERM_MF_DIRECT","dynein light chain binding"
"dynein intermediate chain 3, ciliary(LOC100578990)","GOTERM_MF_DIRECT","dynein heavy chain binding"
"dynein intermediate chain 3, ciliary(LOC100578990)","INTERPRO","WD40_rpt"
"dynein intermediate chain 3, ciliary(LOC100578990)","INTERPRO","WD40/YVTN_repeat-like_dom_sf"
"dynein intermediate chain 3, ciliary(LOC100578990)","INTERPRO","WD40_repeat_dom_sf"
"dynein intermediate chain 3, ciliary(LOC100578990)","INTERPRO","Dynein_IC"
"dynein intermediate chain 3, ciliary(LOC100578990)","KEGG_PATHWAY","Motor proteins"
"dynein intermediate chain 3, ciliary(LOC100578990)","SMART","WD40"
"dynein intermediate chain 3, ciliary(LOC100578990)","UP_KW_CELLULAR_COMPONENT","Cytoskeleton"
"dynein intermediate chain 3, ciliary(LOC100578990)","UP_KW_CELLULAR_COMPONENT","Dynein"
"dynein intermediate chain 3, ciliary(LOC100578990)","UP_KW_CELLULAR_COMPONENT","Microtubule"
"dynein intermediate chain 3, ciliary(LOC100578990)","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"dynein intermediate chain 3, ciliary(LOC100578990)","UP_KW_CELLULAR_COMPONENT","Cell projection"
"dynein intermediate chain 3, ciliary(LOC100578990)","UP_KW_CELLULAR_COMPONENT","Cilium"
"dynein intermediate chain 3, ciliary(LOC100578990)","UP_KW_DOMAIN","Coiled coil"
"dynein intermediate chain 3, ciliary(LOC100578990)","UP_KW_DOMAIN","Repeat"
"dynein intermediate chain 3, ciliary(LOC100578990)","UP_KW_DOMAIN","WD repeat"
"dynein intermediate chain 3, ciliary(LOC100578990)","UP_KW_MOLECULAR_FUNCTION","Motor protein"
"dynein intermediate chain 3, ciliary(LOC100578990)","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"dynein intermediate chain 3, ciliary(LOC100578990)","UP_SEQ_FEATURE","COMPBIAS:Basic residues"
"dynein intermediate chain 3, ciliary(LOC100578990)","UP_SEQ_FEATURE","REGION:Disordered"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","GOTERM_BP_DIRECT","signal transduction"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","GOTERM_BP_DIRECT","chemical synaptic transmission"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","GOTERM_BP_DIRECT","monoatomic ion transmembrane transport"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","GOTERM_BP_DIRECT","regulation of membrane potential"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","GOTERM_BP_DIRECT","nervous system process"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","GOTERM_CC_DIRECT","neuron projection"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","GOTERM_CC_DIRECT","synapse"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","GOTERM_CC_DIRECT","postsynaptic membrane"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","GOTERM_MF_DIRECT","transmembrane signaling receptor activity"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","GOTERM_MF_DIRECT","acetylcholine-gated monoatomic cation-selective channel activity"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","INTERPRO","Nicotinic_acetylcholine_rcpt"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","INTERPRO","Neurotrans-gated_channel_TM"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","INTERPRO","Neur_channel"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","INTERPRO","Neur_chan_lig-bd"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","INTERPRO","Neurotransmitter_ion_chnl_CS"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","INTERPRO","Neuro-gated_channel_TM_sf"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","INTERPRO","Neur_chan_lig-bd_sf"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","INTERPRO","Neuro_actylchol_rec"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_KW_BIOLOGICAL_PROCESS","Transport"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_KW_CELLULAR_COMPONENT","Membrane"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_KW_CELLULAR_COMPONENT","Postsynaptic cell membrane"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_KW_CELLULAR_COMPONENT","Synapse"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_KW_CELLULAR_COMPONENT","Cell membrane"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_KW_DOMAIN","Signal"
